Reference, Value, Footprint, Datasheet
""G"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""H"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""J"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""K"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""L"1","KEYSW","TheKeebrary:MX_Plate_100H",""
"";"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""'"1","KEYSW","TheKeebrary:MX_Plate_100H",""
"RET1","KEYSW","TheKeebrary:MX_Plate_225H",""
"L_SHIFT1","KEYSW","TheKeebrary:MX_Plate_225H",""
""Z"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""X"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""C"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""V"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""B"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""N"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""M"1","KEYSW","TheKeebrary:MX_Plate_100H",""
"","1","KEYSW","TheKeebrary:MX_Plate_100H",""
""."1","KEYSW","TheKeebrary:MX_Plate_100H",""
"R_SHIFT1","KEYSW","TheKeebrary:MX_Plate_175H",""
"R_FN1","KEYSW","TheKeebrary:MX_Plate_100H",""
"ALT1","KEYSW","TheKeebrary:MX_Plate_100H",""
"L_CMD1","KEYSW","TheKeebrary:MX_Plate_150H",""
"L_FN1","KEYSW","TheKeebrary:MX_Plate_150H",""
"SPACEBAR1","KEYSW","TheKeebrary:MX_Plate_400H",""
"R_ALT1","KEYSW","TheKeebrary:MX_Plate_100H",""
"D1:1","D","Diodes_SMD:D_SOD-123",""
"D1:2","D","Diodes_SMD:D_SOD-123",""
"D1:3","D","Diodes_SMD:D_SOD-123",""
"D1:4","D","Diodes_SMD:D_SOD-123",""
"D1:5","D","Diodes_SMD:D_SOD-123",""
"D1:6","D","Diodes_SMD:D_SOD-123",""
"D2:1","D","Diodes_SMD:D_SOD-123",""
"D2:2","D","Diodes_SMD:D_SOD-123",""
"D2:3","D","Diodes_SMD:D_SOD-123",""
"D2:4","D","Diodes_SMD:D_SOD-123",""
"D2:5","D","Diodes_SMD:D_SOD-123",""
"D2:6","D","Diodes_SMD:D_SOD-123",""
"D1:7","D","Diodes_SMD:D_SOD-123",""
"D1:8","D","Diodes_SMD:D_SOD-123",""
"D1:9","D","Diodes_SMD:D_SOD-123",""
"D1:10","D","Diodes_SMD:D_SOD-123",""
"D1:11","D","Diodes_SMD:D_SOD-123",""
"D1:12","D","Diodes_SMD:D_SOD-123",""
"D1:13","D","Diodes_SMD:D_SOD-123",""
"D1:14","D","Diodes_SMD:D_SOD-123",""
"D1:15","D","Diodes_SMD:D_SOD-123",""
"D2:7","D","Diodes_SMD:D_SOD-123",""
"D2:8","D","Diodes_SMD:D_SOD-123",""
"D2:9","D","Diodes_SMD:D_SOD-123",""
"D2:10","D","Diodes_SMD:D_SOD-123",""
"D2:11","D","Diodes_SMD:D_SOD-123",""
"D2:12","D","Diodes_SMD:D_SOD-123",""
"D2:13","D","Diodes_SMD:D_SOD-123",""
"D2:14","D","Diodes_SMD:D_SOD-123",""
"D3:2","D","Diodes_SMD:D_SOD-123",""
"D3:3","D","Diodes_SMD:D_SOD-123",""
"D3:4","D","Diodes_SMD:D_SOD-123",""
"D3:5","D","Diodes_SMD:D_SOD-123",""
"D3:6","D","Diodes_SMD:D_SOD-123",""
"D3:7","D","Diodes_SMD:D_SOD-123",""
"D3:8","D","Diodes_SMD:D_SOD-123",""
"D3:9","D","Diodes_SMD:D_SOD-123",""
"D3:10","D","Diodes_SMD:D_SOD-123",""
"D3:11","D","Diodes_SMD:D_SOD-123",""
"D3:12","D","Diodes_SMD:D_SOD-123",""
"D3:1","D","Diodes_SMD:D_SOD-123",""
"D4:1","D","Diodes_SMD:D_SOD-123",""
"D4:2","D","Diodes_SMD:D_SOD-123",""
"D4:3","D","Diodes_SMD:D_SOD-123",""
"D4:4","D","Diodes_SMD:D_SOD-123",""
"D4:5","D","Diodes_SMD:D_SOD-123",""
"D4:6","D","Diodes_SMD:D_SOD-123",""
"D4:7","D","Diodes_SMD:D_SOD-123",""
"D4:8","D","Diodes_SMD:D_SOD-123",""
"D4:9","D","Diodes_SMD:D_SOD-123",""
"D4:10","D","Diodes_SMD:D_SOD-123",""
"D4:11","D","Diodes_SMD:D_SOD-123",""
"D4:12","D","Diodes_SMD:D_SOD-123",""
"D4:13","D","Diodes_SMD:D_SOD-123",""
"D3:13","D","Diodes_SMD:D_SOD-123",""
"D5:6","D","Diodes_SMD:D_SOD-123",""
"D5:5","D","Diodes_SMD:D_SOD-123",""
"D5:4","D","Diodes_SMD:D_SOD-123",""
"D5:3","D","Diodes_SMD:D_SOD-123",""
"D5:2","D","Diodes_SMD:D_SOD-123",""
"D5:1","D","Diodes_SMD:D_SOD-123",""
"R_CMD1","KEYSW","TheKeebrary:MX_Plate_150H",""
"CTRL1","KEYSW","TheKeebrary:MX_Plate_175H",""
""T"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""Q"1","KEYSW","TheKeebrary:MX_Plate_100H",""
"JMP0:4","0","Resistors_SMD:R_1206_HandSoldering",""
""W"1","KEYSW","TheKeebrary:MX_Plate_100H",""
"BS1","KEYSW","TheKeebrary:MX_Plate_150H",""
""["1","KEYSW","TheKeebrary:MX_Plate_100H",""
""]"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""O"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""I"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""R"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""E"1","KEYSW","TheKeebrary:MX_Plate_100H",""
""/"1","KEYSW","TheKeebrary:MX_Plate_100H",""
"JMP1:4","0","Resistors_SMD:R_1206_HandSoldering",""
